movieID,movieImg,movieMoreUrl,movieTitle,movieYear,movieTime,movieAvgRating,movieRatingCount
QmxpbmsgVHdpY2U=,"https://m.media-amazon.com/images/M/MV5BZDUyYTRhNDUtYTVhOC00ZGM4LWJkNWMtZTRmOWEzNTlkMTRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt14858658/?ref_=chtmvm_t_26,Blink Twice,2024,,,
VHJhcA==,"https://m.media-amazon.com/images/M/MV5BN2E3ODBlNWYtODQ1OS00MTM5LWExZmMtYmEzZjc4NDJkZTI0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt26753003/?ref_=chtmvm_t_27,Trap,2024,,,
R2hvc3RidXN0ZXJzOiBGcm96ZW4gRW1waXJl,"https://m.media-amazon.com/images/M/MV5BNGE5MWJmZWYtN2ZlMi00ZjY1LTlhYTUtMzQ2Y2IxZWQyYTA2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt21235248/?ref_=chtmvm_t_28,Ghostbusters: Frozen Empire,2024,1h 55m,6.4,30K
S3VuZyBGdSBQYW5kYSA0,"https://m.media-amazon.com/images/M/MV5BZDY0YzI0OTctYjVhYy00MTVhLWE0NTgtYTRmYTBmOTE3YTViXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,7,140,207_.jpg",/title/tt21692408/?ref_=chtmvm_t_29,Kung Fu Panda 4,2024,1h 34m,6.3,33K
VGhlIEJlZWtlZXBlcg==,"https://m.media-amazon.com/images/M/MV5BZjQwYjU3OTYtMWVhMi00N2Y2LWEzMDgtMzViN2U4NWI1NmI3XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt15314262/?ref_=chtmvm_t_30,The Beekeeper,2024,1h 45m,6.4,85K
VGhlIEdlb3JnZXRvd24gUHJvamVjdA==,"https://m.media-amazon.com/images/M/MV5BZGFmN2Q0NDYtYjI5OS00MDA5LThjYTctNTFiY2ZmMDNkNjAwXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt11240348/?ref_=chtmvm_t_31,The Georgetown Project,2024,1h 33m,,
RnVyaW9zYTogQSBNYWQgTWF4IFNhZ2E=,"https://m.media-amazon.com/images/M/MV5BNmYzMWVjNmQtNjJjNy00M2Y4LTkzZjQtZWQ5NmYzMjRjMDIzXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt12037194/?ref_=chtmvm_t_32,Furiosa: A Mad Max Saga,2024,2h 28m,,
SGl0IE1hbg==,"https://m.media-amazon.com/images/M/MV5BYTJmMDM4YWItMGM2YS00MzQ0LTliM2ItZDE1NzVlMjNjNDVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt20215968/?ref_=chtmvm_t_33,Hit Man,2023,1h 55m,7.7,1.1K
QmFjayB0byBCbGFjaw==,"https://m.media-amazon.com/images/M/MV5BY2Y3MGI1MWMtODBlZC00ODJhLWJjYTItNTYxY2VjMWE4YmU1XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt21261712/?ref_=chtmvm_t_34,Back to Black,2024,2h 2m,6.6,4.7K
VGhlIEZpcnN0IE9tZW4=,"https://m.media-amazon.com/images/M/MV5BMzI2YmYwZWYtNzgzNi00ODU2LWE1NWMtZmY4NTJjYzIyNTIxXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt5672290/?ref_=chtmvm_t_35,The First Omen,2024,1h 59m,6.8,13K
V2lzaA==,"https://m.media-amazon.com/images/M/MV5BYWQ4M2ZmODItNzZhYi00MzY1LTk2ZmItYTUwODI2NzJmN2JiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt11304740/?ref_=chtmvm_t_36,Wish,2023,1h 35m,5.6,34K
QXRsYXM=,"https://m.media-amazon.com/images/M/MV5BNDJjNWE4NDMtMzQwMC00NjlhLTg1NjItMTQyMzY3NzdkZDIzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt14856980/?ref_=chtmvm_t_37,Atlas,2024,1h 58m,,
VGhlIFpvbmUgb2YgSW50ZXJlc3Q=,"https://m.media-amazon.com/images/M/MV5BYzRmOGQwZjktYjM2Ni00M2NmLWFlZDYtZGFhM2RkM2VhZDI1XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt7160372/?ref_=chtmvm_t_38,The Zone of Interest,2023,1h 45m,7.5,83K
QXJ0aWNsZSAzNzA=,"https://m.media-amazon.com/images/M/MV5BMGYzM2QxNWEtY2EwZC00OTE2LWExZDEtNjQ0NDAyMjYzNGJlXkEyXkFqcGdeQXVyMTY1MjAwNDU0._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt30970235/?ref_=chtmvm_t_39,Article 370,2024,2h 38m,8.1,15K
VGhlIEdlbnRsZW1lbg==,"https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt8367814/?ref_=chtmvm_t_40,The Gentlemen,2019,1h 53m,7.8,400K
R2xhc3M=,"https://m.media-amazon.com/images/M/MV5BMTY1OTA2MjI5OV5BMl5BanBnXkFtZTgwNzkxMjU4NjM@._V1_QL75_UY207_CR3,0,140,207_.jpg",/title/tt6823368/?ref_=chtmvm_t_41,Glass,2019,2h 9m,6.6,272K
VGhlIFNoYXdzaGFuayBSZWRlbXB0aW9u,"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt0111161/?ref_=chtmvm_t_42,The Shawshank Redemption,1994,2h 22m,9.3,2.9M
