movieID,specKey,specValue,specLink
QW55b25lIEJ1dCBZb3U=,Laboratory,Company 3,
QW55b25lIEJ1dCBZb3U=,Negative Format,Codex,
QW55b25lIEJ1dCBZb3U=,Cinematographic Process,"ARRIRAW(4.5K, source format)Digital Intermediate(4K, master format)",
QW55b25lIEJ1dCBZb3U=,Printed Film Format,DCP Digital Cinema Package (4K),
QW55b25lIEJ1dCBZb3U=,,,
QW55b25lIEJ1dCBZb3U=,,,
VGhlIEZhbGwgR3V5,Runtime,2h 6m(126 min),
VGhlIEZhbGwgR3V5,Sound mix,Dolby AtmosIMAX 6-Track,/search/title/?sound_mixes=dolby_atmos&ref_=ttspec_spec_2
VGhlIEZhbGwgR3V5,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
VGhlIEZhbGwgR3V5,Aspect ratio,2.39 : 1,
VGhlIEZhbGwgR3V5,Camera,"Arri Alexa 35, Panavision T-Series LensesPanavision Panaflex Lightweight(some scenes)Panavision Panaflex Millennium XL2(some scenes)",
VGhlIEZhbGwgR3V5,Laboratory,Company 3,
VGhlIEZhbGwgR3V5,Negative Format,35 mmCodex,
VGhlIEZhbGwgR3V5,Cinematographic Process,"ARRIRAW(4.6K, source format)Digital Intermediate(master format)Panavision(anamorphic, source format)Super 35(source format)",
VGhlIEZhbGwgR3V5,Printed Film Format,DCP Digital Cinema Package,
VGhlIEZhbGwgR3V5,,,
VGhlIEZhbGwgR3V5,,,
TG92ZSBMaWVzIEJsZWVkaW5n,Runtime,1h 44m(104 min)1h 38m(98 min) (Vietnam),
TG92ZSBMaWVzIEJsZWVkaW5n,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
TG92ZSBMaWVzIEJsZWVkaW5n,Aspect ratio,2.39 : 1,
TG92ZSBMaWVzIEJsZWVkaW5n,Camera,Arri Alexa Mini,
TG92ZSBMaWVzIEJsZWVkaW5n,Printed Film Format,DCP Digital Cinema Package,
TG92ZSBMaWVzIEJsZWVkaW5n,,,
TG92ZSBMaWVzIEJsZWVkaW5n,,,
QXJneWxsZQ==,Runtime,2h 19m(139 min),
QXJneWxsZQ==,Sound mix,Dolby DigitalIMAX 6-TrackDolby Atmos,/search/title/?sound_mixes=dolby_digital&ref_=ttspec_spec_2
QXJneWxsZQ==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
QXJneWxsZQ==,Aspect ratio,2.39 : 1,
QXJneWxsZQ==,Camera,"Arri Alexa LF, Panavision T-Series LensesArri Alexa Mini LF, Panavision T-Series Lenses",
QXJneWxsZQ==,Laboratory,"Cinelab London(dailies)Goldcrest Post, London, UK(digital intermediate)",
QXJneWxsZQ==,Negative Format,Codex ARRIRAW(4.5K),
QXJneWxsZQ==,Cinematographic Process,"Digital Intermediate(4K, Master Format)Panavision(anamorphic, source format)",
QXJneWxsZQ==,Printed Film Format,D-CinemaDCP Digital Cinema Package (4K),
QXJneWxsZQ==,,,
QXJneWxsZQ==,,,
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,Runtime,1h 55m(115 min),
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,Sound mix,IMAX 6-TrackDolby DigitalDolby Surround 7.1Dolby Atmos12-Track Digital Sound(IMAX version)DTS(DTS: X)Sonics-DDP(IMAX version),/search/title/?sound_mixes=imax_6_track&ref_=ttspec_spec_2
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,Aspect ratio,1.90 : 1(IMAX: some scenes)2.39 : 1,
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,Camera,"Arri Alexa Mini LF, Panavision Ultra Vista and SLZ11 LensesIMAX MSM 9802, Canon RF Lenses(some scenes)",
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,Laboratory,"Company 3, Los Angeles (CA), USA(digital intermediate)",
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,Negative Format,65 mm(Kodak)Codex,
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,Cinematographic Process,"ARRIRAW(4.5K, source format)Digital Intermediate(4K, master format)Dolby VisionIMAX(source format, some scenes)Panavision(anamorphic, source format)Spherical(source format)",
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,Printed Film Format,D-Cinema,
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,,,
R29kemlsbGEgeCBLb25nOiBUaGUgTmV3IEVtcGlyZQ==,,,
SW1tYWN1bGF0ZQ==,Runtime,1h 29m(89 min),
SW1tYWN1bGF0ZQ==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
SW1tYWN1bGF0ZQ==,Aspect ratio,2.00 : 1,
SW1tYWN1bGF0ZQ==,Camera,"Sony CineAlta Venice, Canon K35 LensesSony Venice",
SW1tYWN1bGF0ZQ==,Laboratory,"Kiwii, Roma, Italy(digital dailies)",
SW1tYWN1bGF0ZQ==,Printed Film Format,DCP Digital Cinema Package,
SW1tYWN1bGF0ZQ==,,,
SW1tYWN1bGF0ZQ==,,,
UG9vciBUaGluZ3M=,Runtime,2h 21m(141 min),
UG9vciBUaGluZ3M=,Sound mix,Dolby Digital,/search/title/?sound_mixes=dolby_digital&ref_=ttspec_spec_2
UG9vciBUaGluZ3M=,Color,ColorBlack and White,/search/title/?colors=color&ref_=ttspec_spec_3
UG9vciBUaGluZ3M=,Aspect ratio,1.66 : 1,
UG9vciBUaGluZ3M=,Camera,"ARRICAM ST, ARRICAM LT, ARRIFLEX 765, ARRIFLEX 416 PlusBeaumont VistaVision Camera, Leitz APO Summicron-R and APO Telyt-R Lenses(some shots)Zeiss Vintage 765 Prime Lens set, Optex 4mm T2 S16, Nikon 6mm T2.8, ARRI/Zeiss 8mm T3.6, ARRI/ Zeiss Master Primes, Angeneiux Optimo EZ-2 Zoom, ARRI/Zeiss 16.5-110mm T2.6 Master Zoom, Angenieux Optimo 24-290mm T2.8 Zoom, ARRI/Zeiss Ultra 16mm Lens Set",
